phase,pair,game_index,black,white,winner
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,0,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,1,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,2,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,3,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,4,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,5,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,6,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,7,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,8,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,9,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,10,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,11,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,12,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,13,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,14,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,15,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,16,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,17,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,18,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,19,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,20,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,21,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,22,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,23,rl_model_20260225_120931.pth,rl_model.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_120931.pth,24,rl_model.pth,rl_model_20260225_120931.pth,black
round_robin,rl_model.pth_vs_rl_model_20260225_121530.pth,0,rl_model.pth,rl_model_20260225_121530.pth,draw
round_robin,rl_model.pth_vs_rl_model_20260225_121530.pth,1,rl_model_20260225_121530.pth,rl_model.pth,white
round_robin,rl_model.pth_vs_rl_model_20260225_121530.pth,2,rl_model.pth,rl_model_20260225_121530.pth,draw
round_robin,rl_model.pth_vs_rl_model_20260225_121530.pth,3,rl_model_20260225_121530.pth,rl_model.pth,white
round_robin,rl_model.pth_vs_rl_model_20260225_121530.pth,4,rl_model.pth,rl_model_20260225_121530.pth,draw
round_robin,rl_model.pth_vs_rl_model_20260225_121530.pth,5,rl_model_20260225_121530.pth,rl_model.pth,white
round_robin,rl_model.pth_vs_rl_model_20260225_121530.pth,6,rl_model.pth,rl_model_20260225_121530.pth,draw
round_robin,rl_model.pth_vs_rl_model_20260225_121530.pth,7,rl_model_20260225_121530.pth,rl_model.pth,white
